"Run","Conc","Abs"
"Data/2020-07-20-Run1.xlsx",2,0.4616
"Data/2020-07-20-Run1.xlsx",1,0.3163
"Data/2020-07-20-Run1.xlsx",0.5,0.2117
"Data/2020-07-20-Run1.xlsx",0.25,0.1379
"Data/2020-07-20-Run1.xlsx",0.125,0.0942
"Data/2020-07-20-Run1.xlsx",0.0625,0.0731
"Data/2020-07-20-Run1.xlsx",0.0313,0.0629
"Data/2020-07-20-Run1.xlsx",0,0.0517
"Data/2020-07-20-Run2.xlsx",2,0.3406
"Data/2020-07-20-Run2.xlsx",1,0.3204
"Data/2020-07-20-Run2.xlsx",0.5,0.2248
"Data/2020-07-20-Run2.xlsx",0.25,0.1439
"Data/2020-07-20-Run2.xlsx",0.125,0.0948
"Data/2020-07-20-Run2.xlsx",0.0625,0.081
"Data/2020-07-20-Run2.xlsx",0.0313,0.0628
"Data/2020-07-20-Run2.xlsx",0,0.0532
"Data/2020-07-21-Run3.xlsx",2,0.4631
"Data/2020-07-21-Run3.xlsx",1,0.2976
"Data/2020-07-21-Run3.xlsx",0.5,0.1951
"Data/2020-07-21-Run3.xlsx",0.25,0.1293
"Data/2020-07-21-Run3.xlsx",0.125,0.0927
"Data/2020-07-21-Run3.xlsx",0.0625,0.0763
"Data/2020-07-21-Run3.xlsx",0.0313,0.066
"Data/2020-07-21-Run3.xlsx",0,0.054
"Data/2020-07-21-Run4.xlsx",2,0.3609
"Data/2020-07-21-Run4.xlsx",1,0.291
"Data/2020-07-21-Run4.xlsx",0.5,0.1988
"Data/2020-07-21-Run4.xlsx",0.25,0.1257
"Data/2020-07-21-Run4.xlsx",0.125,0.0941
"Data/2020-07-21-Run4.xlsx",0.0625,0.0754
"Data/2020-07-21-Run4.xlsx",0.0313,0.0653
"Data/2020-07-21-Run4.xlsx",0,0.0579
"Data/2020-07-21-Run5.xlsx",2,0.3004
"Data/2020-07-21-Run5.xlsx",1,0.2514
"Data/2020-07-21-Run5.xlsx",0.5,0.1621
"Data/2020-07-21-Run5.xlsx",0.25,0.1089
"Data/2020-07-21-Run5.xlsx",0.125,0.0833
"Data/2020-07-21-Run5.xlsx",0.0625,0.0721
"Data/2020-07-21-Run5.xlsx",0.0313,0.0593
"Data/2020-07-21-Run5.xlsx",0,0.0521
