"Run","Diet","Tag1","Tag2","Tag3","Blank"
"Data/2020-07-20-Run1.xlsx","100N",0.6585,0.5769,0.7332,0.0562
"Data/2020-07-20-Run1.xlsx","0Ile",0.5337,0.4947,0.5044,0.0591
"Data/2020-07-20-Run1.xlsx","25Thr",0.8261,0.6341,0.6883,0.0762
"Data/2020-07-20-Run1.xlsx","0N",0.533,0.5735,0.5609,0.0514
"Data/2020-07-20-Run1.xlsx","R100N",0.7758,0.7622,0.6775,0.061
"Data/2020-07-20-Run1.xlsx","R0Ile",0.7156,0.5434,0.6604,0.0653
"Data/2020-07-20-Run1.xlsx","R25Thr",0.8187,1.0137,1.0953,0.088
"Data/2020-07-20-Run1.xlsx","R0N",0.7957,0.6107,0.6802,0.0672
"Data/2020-07-20-Run2.xlsx","100N",0.9049,0.9608,1.1999,0.1142
"Data/2020-07-20-Run2.xlsx","0Ile",0.6756,0.8215,0.8054,0.0799
"Data/2020-07-20-Run2.xlsx","25Thr",1.0389,0.9308,1.0587,0.0797
"Data/2020-07-20-Run2.xlsx","0N",0.5794,0.7151,0.7255,0.055
"Data/2020-07-20-Run2.xlsx","R100N",0.7682,0.8372,0.8311,0.0739
"Data/2020-07-20-Run2.xlsx","R0Ile",0.4218,0.6487,0.538,0.0605
"Data/2020-07-20-Run2.xlsx","R25Thr",0.6435,0.8077,0.7082,0.0665
"Data/2020-07-20-Run2.xlsx","R0N",0.5169,0.5146,0.59,0.0662
"Data/2020-07-21-Run3.xlsx","100N",0.4904,0.6553,0.4624,0.0638
"Data/2020-07-21-Run3.xlsx","0Ile",0.4795,0.432,0.5283,0.0656
"Data/2020-07-21-Run3.xlsx","25Thr",0.4406,0.3981,0.4175,0.049
"Data/2020-07-21-Run3.xlsx","0N",0.4777,0.4252,0.4262,0.0536
"Data/2020-07-21-Run3.xlsx","R100N",0.3801,0.4242,0.4804,0.0598
"Data/2020-07-21-Run3.xlsx","R0Ile",0.4883,0.5254,0.5701,0.068
"Data/2020-07-21-Run3.xlsx","R25Thr",0.6188,0.5963,0.4874,0.0624
"Data/2020-07-21-Run3.xlsx","R0N",0.5004,0.6116,0.5969,0.0657
"Data/2020-07-21-Run4.xlsx","100N",0.6603,0.6515,0.7074,0.0858
"Data/2020-07-21-Run4.xlsx","0Ile",0.4931,0.4044,0.4218,0.0708
"Data/2020-07-21-Run4.xlsx","25Thr",0.5215,0.6054,0.6835,0.0776
"Data/2020-07-21-Run4.xlsx","0N",0.4722,0.5483,0.5318,0.056
"Data/2020-07-21-Run4.xlsx","R100N",0.4847,0.7206,0.7282,0.0544
"Data/2020-07-21-Run4.xlsx","R0Ile",0.3212,0.4309,0.3944,0.0766
"Data/2020-07-21-Run4.xlsx","R25Thr",0.743,0.5608,0.5285,0.0816
"Data/2020-07-21-Run4.xlsx","R0N",0.58,0.4777,0.5178,0.0532
"Data/2020-07-21-Run5.xlsx","100N",0.3893,0.4252,0.4,0.0593
"Data/2020-07-21-Run5.xlsx","0Ile",0.4884,0.5809,0.5778,0.0602
"Data/2020-07-21-Run5.xlsx","25Thr",0.449,0.482,0.3524,0.0602
"Data/2020-07-21-Run5.xlsx","0N",0.314,0.3675,0.3447,0.0482
"Data/2020-07-21-Run5.xlsx","R100N",0.6522,0.6448,0.5909,0.0719
"Data/2020-07-21-Run5.xlsx","R0Ile",0.4028,0.4242,0.3907,0.0646
"Data/2020-07-21-Run5.xlsx","R25Thr",0.3587,0.4859,0.4385,0.0562
"Data/2020-07-21-Run5.xlsx","R0N",0.4732,0.4229,0.3804,0.0535
